slug,styleName,visualDNA,inspirations,wallpaperImages,cssImports,cardInfoTitle,cardInfoDescription,cardInfoThumbnailURL,cardInfoNotes
abstract-workspace-pals,Abstract Workspace Pals,"Friendly geometric shapes, optimistic gradients, and warm light pour across collaborative work surfaces. Soft purples and apricots keep things playful while allowing primary actions to pop. Typography leans modern and upbeat.",Playful productivity|Mid-century geometry|Soft gradients|Collaborative workspaces,https://images.unsplash.com/photo-1545239351-1141bd82e8a6?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1523475472560-d2df97ec485c?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;600&family=DM+Serif+Text:ital@0;1&family=JetBrains+Mono:wght@400;500&display=swap,Abstract Workspace Pals,"A cheerful workspace palette that balances lavender primaries, peach highlights, and pill-shaped shadows.",https://images.unsplash.com/photo-1545239351-1141bd82e8a6?auto=format&fit=crop&w=600&q=80,Pairs well with productivity dashboards or community hubs.
activist-rugged,Activist Rugged,"Weathered textures, bold CTA blocks, and trail-mapped backgrounds built for eco brand campaigns and volunteer drives.",Patagonia field reports|REI stewardship drives|Trailhead community guides,https://images.unsplash.com/photo-1469474968028-56623f02e42e?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1476041800959-2f6bb412c8ce?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1519681393784-d120267933ba?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Work+Sans:wght@400;600&family=Cormorant+Garamond:wght@500;600&family=IBM+Plex+Mono:wght@400;500&display=swap,Activist Rugged,"Field-ready storytelling kit for campaigns that blend rugged maps, gear callouts, and community action prompts.",https://images.unsplash.com/photo-1469474968028-56623f02e42e?auto=format&fit=crop&w=600&q=80,"Highlight gear checklists, action badges, and partner shoutouts across panels."
cinematic-editorial,Cinematic Editorial,"Full-bleed video, parallax chapters, and map embeds for documentary storytelling.","NYT ""Snow Fall""|The Guardian ""Firestorm""|National Geographic immersive features",https://images.unsplash.com/photo-1526481280695-3c3695125d11?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1470071459604-3b5ec3a7fe05?auto=format&fit=crop=w=1400&q=80|https://images.unsplash.com/photo-1521737604893-d14cc237f11d?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Source+Serif+4:wght@500;600&family=Work+Sans:wght@400;500&family=IBM+Plex+Mono:wght@400;500&display=swap,Cinematic Editorial,"Scroll-driven narrative design with pull quotes, chapter intros, and immersive media embeds.",https://images.unsplash.com/photo-1526481280695-3c3695125d11?auto=format&fit=crop&w=600&q=80,"Blend parallax chapters, mini cartography, and crossfade transitions."
digital-bauhaus-atelier,Digital Bauhaus Atelier,"Punchy primaries, strict grids, and industrial typography translate Bauhaus poster energy into a modern visual system built for prototyping studios.",Bauhaus print design|Primary color blocking|Grid-first composition|Creative studio workflows,https://images.unsplash.com/photo-1582719478181-2cf4e7bda3a0?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1529429617124-aee3f4f3e4b1?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;600&family=IBM+Plex+Mono:wght@400;500&family=DM+Serif+Text:wght@500&display=swap,Digital Bauhaus Atelier,"A structural palette of vivid orange, cobalt, and golden accent blocks anchored by soft cream surfaces.",https://images.unsplash.com/photo-1582719478181-2cf4e7bda3a0?auto=format&fit=crop&w=600&q=80,"Perfect for design tooling, creative networks, or editorial dashboards."
editorial-minimal,Editorial Minimal,"Magazine-grade whitespace, serif headlines, and muted photography with patient transitions.",Cereal editorial spreads|Kinfolk product stories|Monocle field reports,https://images.unsplash.com/photo-1526481280695-3c3695125d11?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1521737604893-d14cc237f11d?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1521572267360-ee0c2909d518?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Public+Sans:wght@400;500&family=Playfair+Display:wght@500;600&family=IBM+Plex+Mono:wght@400;500&display=swap,Editorial Minimal,"A magazine-inspired palette favoring calm photography, measured typography, and deliberate pacing.",https://images.unsplash.com/photo-1526481280695-3c3695125d11?auto=format&fit=crop&w=600&q=80,"Lean on asymmetric grid modules, generous whitespace, and disciplined drop caps."
futurist-lab,Futurist Lab,"Dark mode, monospaced heads, and generative gradients for speculative design R&D spaces.",SPACE10 research sites|Google ATAP experiments|MIT Media Lab showcases,https://images.unsplash.com/photo-1462332420958-a05d1e002413?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1498050108023-c5249f4df085?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1518770660439-4636190af475?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500&family=IBM+Plex+Mono:wght@400;500&display=swap,Futurist Lab,"Glowing lab terminals, gridded schematics, and code-forward storytelling for advanced prototypes.",https://images.unsplash.com/photo-1462332420958-a05d1e002413?auto=format&fit=crop&w=600&q=80,"Use animated grid overlays, diagnostic widgets, and telemetry glyphs."
futurist-luxury,Futurist Luxury,"Midnight glass, holographic glow, and precision serif accents for flagship tech unveilings.",BMW i7 launch pages|Mercedes EQS configurators|Rolls-Royce Spectre experience,https://images.unsplash.com/photo-1519648023493-d82b5f8d7fd3?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1522402911-09b7e13787fe?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1529429617124-aee3f4f3e4b1?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Montserrat:wght@400;600&family=Playfair+Display:wght@500;600&family=IBM+Plex+Mono:wght@400;500&display=swap,Futurist Luxury,"Dark glass panels, holographic accents, and meticulous typography crafted for premium vehicles.",https://images.unsplash.com/photo-1519648023493-d82b5f8d7fd3?auto=format&fit=crop&w=600&q=80,"Use floating cards, gloss reflections, and spec callouts with headline serifs."
gradient-tech,Gradient Tech,"Dark nebula backdrops, electric gradients, and glass-card panels echo high-velocity product launches and code-forward storytelling.",Stripe product stories|Linear contrast gradients|Raycast neon glass,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1527443154391-507e9dc6c5cc?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1489515217757-5fd1be406fef?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;600&family=IBM+Plex+Serif:wght@500&family=JetBrains+Mono:wght@400;500&display=swap,Gradient Tech,A neon-gradient system for product teams that live between command lines and launch films.,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429?auto=format&fit=crop&w=600&q=80,Pair with glassmorphism overlays and command palette interactions.
high-fashion-immersive,High-Fashion Immersive,"Dark glam hero reels, oversized serif headlines, and subtle neon reveals for runway moments.",Moncler Genius experiences|Jacquemus immersive lookbooks|Balenciaga runway archives,https://images.unsplash.com/photo-1500916434205-0c77489c6cf7?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Playfair+Display:wght@500;600&family=Archivo:wght@400;500&family=IBM+Plex+Mono:wght@400;500&display=swap,High-Fashion Immersive,"Edge-to-edge video, oversized fashion type, and moody overlays for couture storytelling.",https://images.unsplash.com/photo-1500916434205-0c77489c6cf7?auto=format&fit=crop&w=600&q=80,"Deploy hover reveals, editorial split layouts, and dramatic lighting cues."
inclusive-data-viz,Inclusive Data-Viz,"Soft blues, human-centered iconography, and WCAG-conscious contrast for equitable dashboards and reports.",Volvo safety datasets|Gapminder explainers|Inclusive civic dashboards,https://images.unsplash.com/photo-1526470608268-f674ce90ebd4?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1454165205744-3b78555e5572?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1556740749-887f6717d7e4?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Atkinson+Hyperlegible:wght@400;600&family=Source+Serif+Pro:wght@500;600&family=IBM+Plex+Mono:wght@400;500&display=swap,Inclusive Data-Viz,"Accessible chart language focused on clarity, empathy, and annotations that include every reader.",https://images.unsplash.com/photo-1526470608268-f674ce90ebd4?auto=format&fit=crop&w=600&q=80,"Pair with large-legibility typography, icon legends, and guided narration modules."
kinetic-story,Kinetic Story,"Edge-lit typography, diagonal action lines, and cinematic color blocking that choreographs hero videos with stat callouts.",Nike kinetic storytelling|Apple AirPods campaign|Spotify motion narratives,https://images.unsplash.com/photo-1517649763962-0c623066013b?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1535223289827-42f1e9919769?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1545239351-1141bd82e8a6?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Barlow+Semi+Condensed:wght@400;600&family=Playfair+Display:wght@500;600&family=IBM+Plex+Mono:wght@400;500&display=swap,Kinetic Story,"A motion-forward palette tuned for sports, music, and campaign storytelling with punchy contrast.",https://images.unsplash.com/photo-1517649763962-0c623066013b?auto=format&fit=crop&w=600&q=80,"Use diagonal masks, burst counters, and timed scroll steps."
luxe-commerce,Luxe Commerce,"Neutral canvas, editorial photography, and slender serif touches for high-end product catalogs.",Farfetch editorial|Net-a-Porter experience|SSENSE shopping flow,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=1400&q=80|https://images.unsplash.com/photo-1524504388940-b1c1722653e1?auto=format&fit=crop&w=1400&q=80,https://fonts.googleapis.com/css2?family=Libre+Baskerville:wght@400;600&family=Montserrat:wght@400;500&family=IBM+Plex+Mono:wght@400;500&display=swap,Luxe Commerce,"A refined retail palette with light neutrals, delicate grids, and product-focused hero blocks.",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&w=600&q=80,"Pair with sticky filters, magnified product frames, and editorial copy modules."
